City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,23.02,61,40,3.0,US,1675193438
1,mataura,-46.1927,168.8643,60.3,100,100,1.14,NZ,1675193439
2,tuatapere,-46.1333,167.6833,61.54,96,100,3.11,NZ,1675193439
3,lorengau,-2.0226,147.2712,80.17,80,100,7.49,PG,1675193439
4,thinadhoo,0.5333,72.9333,81.07,75,37,9.93,MV,1675193440
5,vestmannaeyjar,63.4427,-20.2734,30.65,73,100,23.64,IS,1675193440
6,linping,30.4225,120.2972,40.95,59,0,1.99,CN,1675193440
7,ushuaia,-54.8,-68.3,56.86,54,75,13.8,AR,1675193227
8,veraval,20.9,70.3667,68.58,40,16,14.38,IN,1675193441
9,cidreira,-30.1811,-50.2056,79.12,78,9,7.85,BR,1675193441
10,cockburn town,21.4612,-71.1419,80.56,57,40,16.11,TC,1675193441
11,magadan,59.5667,150.8,6.53,95,100,8.32,RU,1675193442
12,panama city,8.9936,-79.5197,91.17,46,40,18.41,PA,1675193442
13,bredasdorp,-34.5322,20.0403,68.34,90,30,5.17,ZA,1675193356
14,arraial do cabo,-22.9661,-42.0278,84.16,61,0,23.02,BR,1675193443
15,punta arenas,-53.15,-70.9167,60.91,48,75,24.16,CL,1675193443
16,northam,51.0333,-4.2167,46.62,81,100,14.27,GB,1675193202
17,noumea,-22.2763,166.4572,79.0,99,69,3.53,NC,1675193444
18,qaanaaq,77.484,-69.3632,-5.78,48,87,8.66,GL,1675193444
19,atuona,-9.8,-139.0333,78.87,74,95,23.31,PF,1675193444
20,teluk nibung,3.001,99.8164,74.48,93,100,4.29,ID,1675193445
21,kodiak,57.79,-152.4072,38.71,87,100,8.05,US,1675193445
22,bluff,-46.6,168.3333,59.83,98,100,3.24,NZ,1675193446
23,neuquen,-38.9516,-68.0591,73.29,46,75,6.91,AR,1675193446
24,rikitea,-23.1203,-134.9692,78.91,74,14,11.59,PF,1675193446
25,lompoc,34.6391,-120.4579,62.64,54,0,4.61,US,1675193447
26,tuktoyaktuk,69.4541,-133.0374,-32.8,75,0,2.3,CA,1675193447
27,yellowknife,62.456,-114.3525,-25.08,75,75,8.05,CA,1675193447
28,ayorou,14.7308,0.9174,77.61,5,96,8.75,NE,1675193448
29,ust-ilimsk,58.0006,102.6619,0.75,98,100,4.12,RU,1675193448
30,rincon,32.296,-81.2354,73.36,76,75,8.05,US,1675193448
31,busselton,-33.65,115.3333,57.58,75,0,16.33,AU,1675193449
32,jalu,29.0331,21.5482,54.43,56,42,11.01,LY,1675193449
33,cayambe,0.05,-78.1333,65.46,68,94,2.98,EC,1675193449
34,ende,-8.8432,121.6623,79.03,88,100,2.84,ID,1675193449
35,hasaki,35.7333,140.8333,25.2,54,55,5.57,JP,1675193450
36,bonavista,48.6499,-53.1147,28.53,85,100,3.87,CA,1675193450
37,lastoursville,-0.8143,12.7287,77.86,69,59,0.51,GA,1675193450
38,mae sot,16.7167,98.5667,64.42,61,67,1.3,TH,1675193451
39,nikolskoye,59.7035,30.7861,30.09,95,100,7.09,RU,1675193451
40,isla vista,34.4133,-119.861,62.46,62,0,6.91,US,1675193451
41,bud,39.447,-86.1758,27.68,63,100,8.25,US,1675193452
42,doha,25.2867,51.5333,67.98,83,0,17.27,QA,1675193413
43,codrington,-38.2667,141.9667,58.86,81,100,8.48,AU,1675193452
44,hithadhoo,-0.6,73.0833,80.8,77,26,9.48,MV,1675193452
45,aklavik,68.2191,-135.0107,-32.13,100,20,2.8,CA,1675193453
46,isangel,-19.55,169.2667,80.55,78,100,2.73,VU,1675193453
47,mahebourg,-20.4081,57.7,79.09,89,40,6.91,MU,1675193453
48,aquiraz,-3.9014,-38.3911,84.29,75,97,9.37,BR,1675193454
49,alta floresta,-9.8756,-56.0861,80.96,78,31,1.3,BR,1675193454
50,kapaa,22.0752,-159.319,72.12,94,0,4.61,US,1675193454
51,ponta do sol,32.6667,-17.1,59.72,65,35,6.89,PT,1675193455
52,lichtenburg,-26.152,26.1597,62.35,82,70,4.41,ZA,1675193456
53,logrono,42.4667,-2.45,42.44,81,40,6.91,ES,1675193457
54,port alfred,-33.5906,26.891,69.19,93,23,5.01,ZA,1675193457
55,kalmunai,7.4167,81.8167,74.3,92,100,16.78,LK,1675193458
56,urumqi,43.801,87.6005,5.95,85,40,2.24,CN,1675193286
57,provideniya,64.3833,-173.3,15.42,100,68,2.17,RU,1675193458
58,mancio lima,-7.6142,-72.8958,89.67,74,75,0.0,BR,1675193458
59,lake city,30.1897,-82.6393,83.62,54,75,6.91,US,1675193459
60,beni mazar,28.4962,30.8029,54.01,47,0,8.68,EG,1675193459
61,kabrai,25.4167,80.0167,55.17,84,0,7.94,IN,1675193459
62,naryan-mar,67.6713,53.087,23.05,92,100,17.13,RU,1675193460
63,victoria,22.2855,114.1577,66.94,79,91,5.99,HK,1675193162
64,bambous virieux,-20.3428,57.7575,79.05,89,40,6.91,MU,1675193460
65,albany,42.6001,-73.9662,30.16,56,98,3.0,US,1675193461
66,college,64.8569,-147.8028,18.59,88,100,4.61,US,1675193461
67,santa isabel do rio negro,-0.4139,-65.0192,79.52,84,100,2.51,BR,1675193461
68,north platte,41.1239,-100.7654,12.09,62,0,14.97,US,1675193462
69,luganville,-15.5333,167.1667,78.06,83,91,2.08,VU,1675193462
70,araguacu,-12.9306,-49.8264,84.29,67,20,1.01,BR,1675193462
71,saint george,37.1041,-113.5841,37.44,33,0,8.05,US,1675193462
72,alofi,-19.0595,-169.9187,76.89,94,100,10.36,NU,1675193463
73,tuensang,26.2833,94.8333,57.16,64,94,2.28,IN,1675193463
74,saint anthony,45.0205,-93.218,10.06,60,75,10.36,US,1675193463
75,algiers,36.7525,3.042,44.42,87,20,3.44,DZ,1675193286
76,yumen,40.2833,97.2,19.35,38,55,2.1,CN,1675193464
77,khatanga,71.9667,102.5,-42.59,100,75,5.14,RU,1675193464
78,saint-philippe,-21.3585,55.7679,80.19,80,100,8.14,RE,1675193465
79,pisco,-13.7,-76.2167,78.85,69,0,12.66,PE,1675193465
80,ust-nera,64.5667,143.2,-13.04,99,100,3.83,RU,1675193465
81,esperance,-33.8667,121.9,62.06,74,100,14.07,AU,1675193466
82,chiredzi,-21.05,31.6667,77.05,67,25,10.98,ZW,1675193466
83,buloh kasap,2.5536,102.764,71.56,97,98,3.56,MY,1675193467
84,hobart,-42.8794,147.3294,58.86,80,20,6.91,AU,1675193467
85,ukiah,39.1502,-123.2078,61.93,23,67,2.21,US,1675193467
86,surt,31.2089,16.5887,59.04,62,61,22.77,LY,1675193467
87,opuwo,-18.0607,13.84,65.8,84,98,3.29,NA,1675193468
88,hilo,19.7297,-155.09,77.29,86,40,5.75,US,1675193468
89,butaritari,3.0707,172.7902,80.1,78,43,19.35,KI,1675193468
90,tautira,-17.7333,-149.15,80.58,76,25,15.28,PF,1675193469
91,maniitsoq,65.4167,-52.9,3.79,73,100,8.88,GL,1675193469
92,saldanha,-33.0117,17.9442,64.45,96,22,17.67,ZA,1675193469
93,agbor,6.2518,6.1934,82.74,66,81,7.72,NG,1675193470
94,moroni,-11.7022,43.2551,79.56,82,7,1.61,KM,1675193470
95,hamilton,39.1834,-84.5333,28.72,73,100,5.75,US,1675193470
96,puerto ayora,-0.7393,-90.3518,84.16,90,65,4.0,EC,1675193471
97,okhotsk,59.3833,143.3,-0.71,97,100,11.16,RU,1675193471
98,zambezi,-13.5432,23.1047,63.64,97,100,5.64,ZM,1675193367
99,walvis bay,-22.9575,14.5053,66.09,88,7,10.36,NA,1675193472
100,alekseyevka,50.6309,38.6903,23.88,91,83,4.23,RU,1675193196
101,belyy yar,53.6039,91.3903,0.86,81,100,4.47,RU,1675193473
102,vaini,-21.2,-175.2,78.96,94,75,10.36,TO,1675193473
103,constitucion,-35.3333,-72.4167,67.28,55,51,14.88,CL,1675193473
104,haines junction,60.7522,-137.5108,21.06,94,99,1.41,CA,1675193473
105,beatrice,40.2681,-96.747,23.09,46,0,10.36,US,1675193474
106,lebu,-37.6167,-73.65,61.61,66,0,18.66,CL,1675193474
107,chokurdakh,70.6333,147.9167,1.02,98,99,2.28,RU,1675193474
108,california city,35.1258,-117.9859,52.34,19,0,8.05,US,1675193196
109,gigmoto,13.7796,124.39,77.2,89,100,13.11,PH,1675193475
110,laguna,38.421,-121.4238,53.31,48,0,9.22,US,1675193475
111,moyamba,8.1667,-12.4333,78.64,72,55,6.46,SL,1675193476
112,east london,-33.0153,27.9116,74.48,86,45,17.49,ZA,1675193321
113,hofn,64.2539,-15.2082,30.54,64,99,20.33,IS,1675193477
114,tingi,-11.3,35.0333,64.2,93,90,3.0,TZ,1675193477
115,samarai,-10.6167,150.6667,80.65,81,96,5.28,PG,1675193477
116,port blair,11.6667,92.75,80.64,78,40,3.44,IN,1675193478
117,ketchikan,55.3422,-131.6461,40.98,93,100,6.91,US,1675193478
118,goderich,43.7501,-81.7165,20.91,67,100,8.05,CA,1675193478
119,kaitangata,-46.2817,169.8464,61.52,98,100,1.03,NZ,1675193479
120,avarua,-21.2078,-159.775,80.65,78,20,5.75,CK,1675193479
121,new norfolk,-42.7826,147.0587,58.5,68,53,2.62,AU,1675193479
122,bama,11.5221,13.6856,79.27,17,100,8.57,NG,1675193480
123,hualmay,-11.0964,-77.6139,76.15,70,100,8.41,PE,1675193480
124,bowen,-20.0167,148.2333,80.22,87,100,14.23,AU,1675193480
125,dikson,73.5069,80.5464,-4.25,93,98,8.72,RU,1675193481
126,hami,42.8,93.45,25.97,32,100,1.14,CN,1675193481
127,porto nacional,-10.7081,-48.4172,93.2,61,67,2.8,BR,1675193481
128,burnie,-41.0667,145.9167,57.94,90,69,5.97,AU,1675193407
129,tiksi,71.6872,128.8694,-6.88,98,100,11.05,RU,1675193482
130,buraydah,26.326,43.975,64.85,58,45,15.26,SA,1675193358
131,coihaique,-45.5752,-72.0662,75.81,18,0,9.22,CL,1675193482
132,castro,-24.7911,-50.0119,64.22,97,100,6.15,BR,1675193483
133,saskylakh,71.9167,114.0833,-30.5,97,100,6.06,RU,1675193483
134,mar del plata,-38.0023,-57.5575,79.83,79,20,14.97,AR,1675193461
135,upernavik,72.7868,-56.1549,1.44,94,100,11.68,GL,1675193484
136,huarmey,-10.0681,-78.1522,76.21,71,61,8.68,PE,1675193484
137,hirara,24.8,125.2833,68.67,62,43,16.26,JP,1675193484
138,kano,12.0001,8.5167,73.29,33,0,3.44,NG,1675193485
139,melilla,35.2937,-2.9383,53.98,66,0,3.44,ES,1675193485
140,vanimo,-2.6741,141.3028,76.98,88,99,3.76,PG,1675193485
141,bayshore gardens,27.4253,-82.5904,82.22,54,40,5.75,US,1675193485
142,lagoa,39.05,-27.9833,56.73,68,89,12.71,PT,1675193486
143,sar-e pul,35.8333,66.1667,38.03,63,100,13.27,AF,1675193486
144,praia da vitoria,38.7333,-27.0667,57.45,77,40,11.18,PT,1675193487
145,croydon,40.0873,-74.9035,38.34,82,100,5.75,US,1675193392
146,luderitz,-26.6481,15.1594,62.55,92,0,8.9,NA,1675193488
147,diego de almagro,-26.3667,-70.05,81.54,26,0,15.75,CL,1675193488
148,chumikan,54.7183,135.315,-15.61,88,49,19.51,RU,1675193488
149,abashiri,44.0213,144.2697,12.94,84,100,9.8,JP,1675193489
150,konya,38.1667,32.5,27.88,79,94,4.85,TR,1675193489
151,sola,-13.8833,167.55,80.44,75,97,5.91,VU,1675193489
152,micheweni,-4.9667,39.8333,78.22,78,53,7.85,TZ,1675193490
153,nurota,40.5614,65.6886,44.44,59,100,11.3,UZ,1675193490
154,alpiarca,39.2571,-8.5819,47.98,78,1,4.25,PT,1675193490
155,pangnirtung,66.1451,-65.7125,-27.4,56,40,0.0,CA,1675193491
156,hermanus,-34.4187,19.2345,69.8,79,38,11.72,ZA,1675193282
157,banjar,-8.19,114.9675,77.22,91,100,3.13,ID,1675193491
158,airai,-8.9266,125.4092,60.51,94,100,1.83,TL,1675193491
159,bengkulu,-3.8004,102.2655,73.87,93,100,6.17,ID,1675193492
160,tasiilaq,65.6145,-37.6368,12.36,80,100,6.89,GL,1675193492
161,ostrovnoy,68.0531,39.5131,25.43,92,97,6.8,RU,1675193493
162,bumbuna,9.05,-11.7333,83.19,24,1,2.51,SL,1675193493
163,marakkanam,12.2,79.95,76.69,80,100,11.23,IN,1675193493
164,pevek,69.7008,170.3133,12.42,78,0,9.69,RU,1675193494
165,salalah,17.0151,54.0924,75.29,57,75,6.91,OM,1675193271
166,nanortalik,60.1432,-45.2371,18.77,77,100,1.32,GL,1675193495
167,bethel,41.3712,-73.414,38.55,60,100,10.36,US,1675193495
168,kahului,20.8947,-156.47,79.84,79,20,5.99,US,1675193281
169,yuzhno-kurilsk,44.0306,145.8556,18.82,73,51,6.64,RU,1675193496
170,saint-augustin,51.226,-58.6502,6.3,76,26,9.71,CA,1675193496
171,portobelo,9.55,-79.65,87.04,72,94,14.81,PA,1675193496
172,grand gaube,-20.0064,57.6608,79.2,83,56,15.86,MU,1675193497
173,ust-tsilma,65.441,52.1498,24.48,85,83,11.32,RU,1675193497
174,narsaq,60.9167,-46.05,21.42,92,100,0.78,GL,1675193497
175,wagar,16.1525,36.2032,81.09,30,51,8.14,SD,1675193497
176,norman wells,65.282,-126.8329,-12.96,70,75,11.5,CA,1675193498
177,ancud,-41.8697,-73.8203,63.18,57,0,9.19,CL,1675193498
178,kalga,50.9251,118.898,-11.88,93,11,6.11,RU,1675193498
179,honningsvag,70.9821,25.9704,35.35,87,75,14.97,NO,1675193499
180,faanui,-16.4833,-151.75,80.8,76,31,14.47,PF,1675193499
181,nouadhibou,20.931,-17.0347,66.18,59,95,18.41,MR,1675193499
182,ilulissat,69.2167,-51.1,6.82,85,75,14.97,GL,1675193500
183,iskele,39.484,26.9278,39.29,65,75,4.61,TR,1675193500
184,suluq,31.6682,20.2521,57.13,60,38,19.37,LY,1675193501
185,palana,59.1167,159.9667,12.34,92,100,11.34,RU,1675193501
186,kesinga,20.2,83.2333,69.21,39,67,3.85,IN,1675193501
187,kleive,62.7954,7.6359,32.32,93,75,9.22,NO,1675193502
188,karaj,35.8355,51.0103,38.98,100,100,6.91,IR,1675193502
189,vila velha,-20.3297,-40.2925,84.15,74,40,16.11,BR,1675193503
190,waingapu,-9.6567,120.2641,78.98,81,94,5.88,ID,1675193503
191,port elizabeth,-33.918,25.5701,71.89,96,20,18.41,ZA,1675193423
192,barrow,71.2906,-156.7887,-9.38,77,0,24.16,US,1675193503
193,lieksa,63.3167,30.0167,15.87,98,99,6.42,FI,1675193504
194,maun,-19.9833,23.4167,71.56,100,100,6.91,BW,1675193504
195,kevsala,45.7983,42.6903,36.59,85,73,8.3,RU,1675193504
196,orumiyeh,37.5527,45.0761,31.55,100,75,2.3,IR,1675193376
197,kushiro,42.975,144.3747,16.47,76,24,0.89,JP,1675193505
198,dingle,10.9995,122.6711,74.53,95,57,8.32,PH,1675193505
199,ghanzi,-21.5667,21.7833,68.09,87,99,10.87,BW,1675193506
200,elko,41.0002,-115.5012,3.63,66,15,5.01,US,1675193506
201,san cristobal,7.7669,-72.225,77.18,51,64,4.63,VE,1675193506
202,victor harbor,-35.5667,138.6167,55.69,80,25,5.93,AU,1675193506
203,thompson,55.7435,-97.8558,-21.84,63,75,5.75,CA,1675193507
204,waterloo,43.4668,-80.5164,19.02,74,100,5.75,CA,1675193507
205,blytheville,35.9273,-89.919,26.65,82,100,19.57,US,1675193507
206,biloela,-24.4167,150.5,74.46,93,75,7.94,AU,1675193508
207,evensk,61.95,159.2333,15.69,95,100,7.9,RU,1675193508
208,saint-georges,12.0564,-61.7485,82.08,65,40,12.66,GD,1675193509
209,grindavik,63.8424,-22.4338,28.87,69,0,11.5,IS,1675193509
210,beringovskiy,63.05,179.3167,26.78,93,68,13.2,RU,1675193510
211,banyuwangi,-8.2325,114.3576,76.05,91,100,0.87,ID,1675193510
212,jiexiu,37.0244,111.9125,32.86,26,100,6.85,CN,1675193510
213,urucara,-2.5364,-57.76,77.99,91,99,2.53,BR,1675193511
214,iqaluit,63.7506,-68.5145,-15.07,64,100,14.97,CA,1675193511
215,reconquista,-29.15,-59.65,103.42,13,0,7.9,AR,1675193386
216,broome,42.2506,-75.833,28.56,62,75,6.91,US,1675193512
217,aasiaat,68.7098,-52.8699,-0.99,93,100,7.18,GL,1675193512
218,port hardy,50.6996,-127.4199,37.58,87,100,19.57,CA,1675193513
219,tsabong,-26.0217,22.401,74.91,60,100,5.3,BW,1675193513
220,high level,58.5169,-117.136,-0.29,92,75,2.3,CA,1675193514
221,bubaque,11.2833,-15.8333,77.58,68,1,16.49,GW,1675193514
222,nador,35.174,-2.9287,53.85,66,0,3.44,MA,1675193514
223,kenai,60.5544,-151.2583,31.08,98,100,4.61,US,1675193515
224,karratha,-20.7377,116.8463,86.02,59,15,9.22,AU,1675193515
225,manuk mangkaw,4.8,119.85,80.2,80,85,9.64,PH,1675193515
226,waipawa,-41.4122,175.5153,63.43,81,100,10.76,NZ,1675193516
227,oranjestad,12.524,-70.027,82.35,61,75,14.97,AW,1675193516
228,kapoeta,4.7717,33.5903,85.77,28,6,6.87,SS,1675193516
229,kalispell,48.1958,-114.3129,19.49,85,100,0.0,US,1675193517
230,tezu,27.9167,96.1667,64.76,28,89,3.65,IN,1675193517
231,baykit,61.67,96.37,-0.04,99,100,0.98,RU,1675193517
232,panji,-7.7253,114.0995,75.65,90,100,4.38,ID,1675193518
233,longyearbyen,78.2186,15.6401,15.64,67,20,17.27,SJ,1675193518
234,stephenville,32.2207,-98.2023,25.25,88,100,10.36,US,1675193518
235,guayaramerin,-10.8368,-65.3614,82.45,69,75,11.5,BO,1675193518
236,porto novo,6.4965,2.6036,82.22,80,92,7.63,BJ,1675193519
237,ajdabiya,30.7554,20.2263,57.94,61,43,16.6,LY,1675193519
238,los lunas,34.8062,-106.7334,50.88,32,0,3.0,US,1675193519
239,mayo,38.8876,-76.5119,39.67,89,100,5.01,US,1675193520
240,husavik,66.0449,-17.3389,28.94,91,100,27.56,IS,1675193520
241,acapetahua,15.2833,-92.7,91.35,38,6,11.59,MX,1675193520
242,kakonko,-3.2828,30.9642,64.18,91,56,5.44,TZ,1675193521
243,sochi,43.6,39.7303,39.29,72,100,3.67,RU,1675193265
244,mahibadhoo,3.7833,72.9667,79.95,73,100,8.05,MV,1675193521
245,neijiang,29.5835,105.0622,50.99,44,0,3.85,CN,1675193521
246,namibe,-15.1961,12.1522,72.41,80,98,5.08,AO,1675193522
247,tiarei,-17.5333,-149.3333,82.0,76,10,14.47,PF,1675193522
248,darnah,32.767,22.6367,57.7,60,7,28.66,LY,1675193522
249,geraldton,-28.7667,114.6,72.01,83,0,4.61,AU,1675193523
250,havoysund,70.9963,24.6622,35.83,80,100,16.42,NO,1675193523
251,bagdarin,54.4333,113.6,-14.22,92,14,4.56,RU,1675193524
252,chamonix-mont-blanc,45.9238,6.8693,31.42,59,91,2.04,FR,1675193289
253,torbay,47.6666,-52.7314,34.57,88,75,10.36,CA,1675193524
254,richards bay,-28.783,32.0377,74.17,90,100,9.35,ZA,1675193525
255,umm lajj,25.0213,37.2685,66.42,46,3,12.48,SA,1675193525
256,lavrentiya,65.5833,-171.0,22.26,97,100,2.59,RU,1675193465
257,los llanos de aridane,28.6585,-17.9182,58.75,75,75,10.36,ES,1675193299
258,baruun-urt,46.6806,113.2792,-6.47,87,4,8.63,MN,1675193526
259,mumford,5.2618,-0.759,80.19,82,100,7.4,GH,1675193526
260,rio grande,-32.035,-52.0986,86.11,64,0,12.48,BR,1675193527
261,flin flon,54.7682,-101.865,-13.16,64,40,3.44,CA,1675193527
262,russell,32.3502,-85.1999,68.2,94,100,3.44,US,1675193527
263,teluknaga,-6.0989,106.6381,80.64,94,75,4.61,ID,1675193465
264,tura,25.5198,90.2201,61.75,55,100,1.48,IN,1675193528
265,mayumba,-3.432,10.6554,78.76,82,13,8.23,GA,1675193528
266,port-gentil,-0.7193,8.7815,80.56,78,20,6.91,GA,1675193528
267,union,40.6334,-74.2663,39.9,64,75,11.5,US,1675193529
268,logan lake,50.4998,-120.8025,16.09,92,100,3.13,CA,1675193529
269,carnarvon,-24.8667,113.6333,75.7,83,33,16.62,AU,1675193529
270,paamiut,61.994,-49.6678,13.75,66,100,9.89,GL,1675193530
271,norsup,-16.0667,167.3833,80.26,78,63,4.36,VU,1675193530
272,miri,4.4148,114.0089,75.34,94,20,2.3,MY,1675193531
273,caxito,-8.5785,13.6643,78.53,86,94,2.13,AO,1675193531
274,shimoda,34.6667,138.95,40.91,72,2,11.36,JP,1675193531
275,davila,18.4726,120.5763,74.1,70,3,4.25,PH,1675193532
276,winnemucca,40.973,-117.7357,25.32,41,30,3.29,US,1675193532
277,korenevo,55.6719,38.0078,32.81,86,100,11.18,RU,1675193533
278,lulea,65.5842,22.1547,8.67,92,0,3.44,SE,1675193417
279,bouillon,49.7932,5.067,42.06,99,100,6.4,BE,1675193403
280,ler,8.3018,30.1418,86.5,15,9,5.59,SS,1675193533
281,nekhayevskiy,50.4106,41.7561,32.36,99,100,5.75,RU,1675193534
282,port macquarie,-31.4333,152.9167,65.89,89,9,7.63,AU,1675193534
283,clyde river,70.4692,-68.5914,-14.57,76,100,5.75,CA,1675193535
284,georgetown,5.4112,100.3354,80.53,83,20,4.61,MY,1675193467
285,merauke,-8.4667,140.3333,79.12,87,100,7.14,ID,1675193535
